CHAMADO,ID DETENTORA,SITE,STATUS,VALIDADE,ENDEREÇO,CLUSTER,SUPERVISOR
427814,TCMGBBC0001,MGBBC03,Aguardando Aprovação,07/10/2026,RUA DOUTOR ARMANDO DE OLIVEIRA BRASIL SN,ZONA DA MATA,André Valério de Paiva
427983,TCMGMCL0003,MGMCL09,Aguardando Aprovação,17/11/2026,RUA DOZE DE OUTUBRO SN,NORTE,Paulo De Freitas Pereira
417039,TCMGCAV0001,MGCAV01,Liberado,22/09/2026,RUA DR ANTONIO DE SOUZA MELO- 362,SUL,Adriano Francisco de Paula
417046,TCMGCHM0001,MGCHM01,Liberado,22/09/2026,RUA DR JOSE MENDES BUSTAMANTE- SN,SUL,Adriano Francisco de Paula
428012,TCMGIPA0001,MGIPA01,Aguardando Aprovação,17/10/2026,RUA DR JOSE XAVIER PINTO 619,LESTE,Paulo De Freitas Pereira
417140,TCMGVAR0005,MGVAR13,Liberado,22/09/2026,RUA DR WLADEMIR RESENDE PINTO- 27,SUL,Adriano Francisco de Paula
417054,TCMGCPT0001,MGCPT01,Liberado,22/09/2026,RUA DRAVELINO DE QUEIROZ SN,SUL,Adriano Francisco de Paula
417074,TCMGGUE0001,MGGUE01,Liberado,22/09/2026,RUA DRJOAQUIM COELHO FILHO- SN,SUL,Adriano Francisco de Paula
427958,TCMGMCL0005,MGMCL14,Aguardando Aprovação,17/10/2026,RUA E SN,NORTE,Paulo De Freitas Pereira
427790,TCMGSUW0001,MGSUW01,Aguardando Aprovação,07/10/2026,RUA ENGENHEIRO MAURICIO CAMPOS- SN,METROPOLITANO,Arthur Santos de Oliveira
427991,TCMGSMI0001,MGJAI80,Aguardando Aprovação,17/11/2026,RUA ESPINOSA LOTE 13 QD 01- 381,NORTE,Paulo De Freitas Pereira
427801,TCMGCPG0001,MGCPG01,Aguardando Aprovação,07/10/2026,RUA EVARISTO TEODORO DE SOUZA 349,SUL,Adriano Francisco de Paula
427775,TCMGPTI0001,MGPTI02,Aguardando Aprovação,07/10/2026,RUA EXPEDICIONARIOS 346,METROPOLITANO,Leandro de Menezes Assunção
427773,TCMGPRM0001,MGPRM07,Aguardando Aprovação,07/10/2026,RUA FABIO FERNANDO HENRIQUE SN,METROPOLITANO,Leandro de Menezes Assunção
427706,TCMGCTA0001,MGCTA01,Aguardando Aprovação,07/10/2026,RUA FELICIO ALVES 644,METROPOLITANO,Arthur Santos de Oliveira
427984,TCMGMCL0004,MGMCL12,Aguardando Aprovação,17/11/2026,RUA FERNANDO DE NORONHA- 70,NORTE,Paulo De Freitas Pereira
427696,TCMGBDP0001,MGBDP02,Aguardando Aprovação,07/10/2026,RUA FRANCISCO AL CANCADO 587,METROPOLITANO,Leandro de Menezes Assunção
427650,TCMGCTG0008,MGCTG25,Aguardando Aprovação,07/10/2026,RUA FRANCISCO ALVES 28,BH,Rafael Porto Alves da Cruz
427913,TCMGARX0005,MGARX08,Aguardando Aprovação,18/10/2026,RUA FRANKLIN DE CASTRO- 545,OESTE,Arthur Gomes de Paulo
417172,TCMGGDV0002,MGGDV02,Liberado,22/09/2026,RUA G- SN,ZONA DA MATA,André Valério de Paiva
427932,TCMGPTU0001,MGPRC02,Aguardando Aprovação,18/10/2026,RUA GETULIO DE MELO FRANCO 333,OESTE,Arthur Gomes de Paulo
417123,TCMGSBG0001,MGSBG01,Liberado,22/09/2026,RUA GOAINIA 07 SN,SUL,Adriano Francisco de Paula
427683,TEMGBET0003,MGBET04,Aguardando Aprovação,07/10/2026,RUA GOIAS 318,BH,Renato Parreiras
427778,TCMGSGN0001,MGSGN01,Aguardando Aprovação,07/10/2026,RUA GOIAS- SN,METROPOLITANO,Leandro de Menezes Assunção
427613,TCMGBHO0057,MGSAV15,Aguardando Aprovação,07/10/2026,RUA GONCALVES DIAS 1205,BH,Renato Parreiras
427609,TCMGBHO0053,MGSAV08,Aguardando Aprovação,07/10/2026,RUA GONCALVES DIAS 3144,BH,Renato Parreiras
428075,TCMGMHL0001,MGMHL01,Aguardando Aprovação,17/11/2026,RUA GOVERNADOR MAGALHAES PINTO SN,LESTE,Paulo De Freitas Pereira
427584,TCMGBHO0018,MGCEN09,Aguardando Aprovação,07/10/2026,RUA GUAJAJARAS 1470,BH,Renato Parreiras
417029,TCMGBDM0001,MGBDM01,Liberado,22/09/2026,RUA HERCULANO COBRA 801,SUL,Adriano Francisco de Paula
428067,TCMGIPG0001,MGIPG07,Aguardando Aprovação,17/11/2026,RUA I- SN,LESTE,Paulo De Freitas Pereira
417106,TCMGPNS0001,MGPNS02,Liberado,22/09/2026,RUA IDALINA CAROLINA DE REZENDE SN- SN,SUL,Adriano Francisco de Paula
427623,TCMGBHO0066,MGPAM27,Aguardando Aprovação,07/10/2026,RUA IRLANDA 145 SN,BH,Rafael Porto Alves da Cruz
427624,TCMGBHO0067,MGOUP18,Aguardando Aprovação,07/10/2026,RUA ITABIRA 777,BH,Rafael Porto Alves da Cruz
427631,TCMGBHO0073,MGFTAS2,Aguardando Aprovação,07/10/2026,RUA ITAGUARA 196,BH,Rafael Porto Alves da Cruz
427576,TCMGBHO0005,MGBEL18,Aguardando Aprovação,07/10/2026,RUA ITAI 776,BH,Rafael Porto Alves da Cruz
427710,TCMGDIV0005,MGDIV07,Aguardando Aprovação,07/10/2026,RUA ITAMBE- 434,METROPOLITANO,Leandro de Menezes Assunção
427592,TCMGBHO0033,MGDCA02,Aguardando Aprovação,07/10/2026,RUA ITOROROM 326 SN,BH,Renato Parreiras
427606,TCMGBHO0051,MGPLA09,Aguardando Aprovação,07/10/2026,RUA IVAN FERREIRA ALVES 270,BH,Rafael Porto Alves da Cruz
427627,TCMGBHO0071,MGBRT22,Aguardando Aprovação,07/10/2026,RUA JANDIATUBA- 11,BH,Renato Parreiras
428042,TCMGTEO0001,MGTEO04,Aguardando Aprovação,17/10/2026,RUA JEQUITINHONHA SN,LESTE,Paulo De Freitas Pereira
427943,TCMGUBE0008,MGULA01,Aguardando Aprovação,18/10/2026,RUA JOAO ASCINDINO COSTA SN,OESTE,Arthur Gomes de Paulo
427604,TCMGBHO0047,MGPAM12,Aguardando Aprovação,07/10/2026,RUA JOAO BERNADINO SANTOS SN,BH,Rafael Porto Alves da Cruz
428040,TCMGSRY0001,MGSRI01,Aguardando Aprovação,17/10/2026,RUA JOAO CORREA DE FARIAS- 317,LESTE,Paulo De Freitas Pereira
417111,TCMGPOU0006,MGPOA02,Liberado,22/09/2026,RUA JOAO INACIO RAIMUNDO- 500,SUL,Adriano Francisco de Paula
416992,TCMGACB0001,MGACB01,Liberado,22/09/2026,RUA JOAO JOSE PERES FERNANDES 41- SN,SUL,Adriano Francisco de Paula
427787,TCMGSSO0001,MGSSO01,Aguardando Aprovação,07/10/2026,RUA JOAO TIBURCIO SN,METROPOLITANO,Leandro de Menezes Assunção
427800,TCMGCOU0001,MGCDO01,Aguardando Aprovação,07/10/2026,RUA JOAQUIM EUGENIO DA FONSECA SN,SUL,Adriano Francisco de Paula
427766,TCMGOLI0002,MGOLIR1,Aguardando Aprovação,07/10/2026,RUA JOAQUIM MACHADO LAGUARDIA- 126,METROPOLITANO,Leandro de Menezes Assunção
428050,TEMGGVD0002,MGGVD07,Aguardando Aprovação,17/10/2026,RUA JOAQUIM NEVES FERREIRA / RUA E-,LESTE,Paulo De Freitas Pereira
427930,TCMGPMS0003,MGPMS02,Aguardando Aprovação,18/10/2026,RUA JOAQUIM S BORGES SN,OESTE,Arthur Gomes de Paulo
417158,TCMGBJA0002,MGBJA02,Liberado,22/09/2026,RUA JOSE AUGUSTO AFFONSO SN,ZONA DA MATA,André Valério de Paiva
427799,TCMGBDL0001,MGBDL01,Aguardando Aprovação,07/10/2026,RUA JOSE BANDEIRA DE CARVALHO SN,SUL,Adriano Francisco de Paula
427689,TEMGBHO0019,MGBEL01,Aguardando Aprovação,07/10/2026,RUA JOSÉ BARONI- 170,BH,Rafael Porto Alves da Cruz
427705,TCMGCOR0001,MGCOR01,Aguardando Aprovação,07/10/2026,RUA JOSE BRIGIDO 71,METROPOLITANO,Leandro de Menezes Assunção
417025,TCMGALF0001,MGALFR2,Liberado,22/09/2026,RUA JOSE DIAS BARROSO- 270,SUL,Adriano Francisco de Paula
427573,TCMGBHO0001,MGBAR02,Aguardando Aprovação,07/10/2026,RUA JOSE EDUARDO MOREIRA 17,BH,Renato Parreiras
417056,TCMGCQL0001,MGCQL01,Liberado,22/09/2026,RUA JOSE FELICIANO VILELA- SN,SUL,Adriano Francisco de Paula
417084,TCMGIPN0001,MGIPU01,Liberado,22/09/2026,RUA JOSE JUNQUEIRA FRANCO- SN,SUL,Adriano Francisco de Paula
427912,TCMGARX0003,MGARX09,Aguardando Aprovação,18/10/2026,RUA JOSE PEDRO DA SILVA SN,OESTE,Arthur Gomes de Paulo
417149,TCMGBBC0002,MGBBC05,Liberado,22/09/2026,RUA JOSE PESOLAB SN,ZONA DA MATA,André Valério de Paiva
427735,TCMGITG0003,MGITTR2,Aguardando Aprovação,07/10/2026,RUA JUAZEIRO DO NORTE 41,METROPOLITANO,Leandro de Menezes Assunção
428061,TCMGGVD0006,MGGVD12,Aguardando Aprovação,17/11/2026,RUA JULIO CIPRIANO 347,LESTE,Paulo De Freitas Pereira
427922,TCMGMAM0001,MGMAM01,Aguardando Aprovação,18/10/2026,RUA JUSCELINO KUBITSCHECK SN,OESTE,Arthur Gomes de Paulo
427588,TCMGBHO0026,MGCJA08,Aguardando Aprovação,07/10/2026,RUA JUVENAL DOS SANTOS 150,BH,Renato Parreiras
327099,TEMGJZF0007,MGJZF08,Liberado,31/03/2026,RUA KATIA MANFROI 215,ZONA DA MATA,André Valério de Paiva
428010,TCMGCNP0001,MGCNP01,Aguardando Aprovação,17/10/2026,RUA LAJAO 189,LESTE,Paulo De Freitas Pereira
427622,TCMGBHO0065,MGOUP14,Aguardando Aprovação,07/10/2026,RUA LEIRIA 450 SN,BH,Rafael Porto Alves da Cruz
428043,TCMGTIM0001,MGTIM80,Aguardando Aprovação,17/10/2026,RUA LEONTINA JORGE SN,LESTE,Paulo De Freitas Pereira
427795,TCMGTXS0001,MGTXS01,Aguardando Aprovação,07/10/2026,RUA LEVINDO SILVA- 708,METROPOLITANO,Arthur Santos de Oliveira
428091,TCMGPAD0001,MGPPA01,Aguardando Aprovação,17/11/2026,RUA LOPES DIAS 203,LESTE,Paulo De Freitas Pereira
417026,TCMGBAE0001,MGBAE01,Liberado,22/09/2026,RUA LUIZ ARTHUR ROLO SN,SUL,Adriano Francisco de Paula
427948,TCMGUBE0013,MGULA81,Aguardando Aprovação,18/10/2026,RUA MACHADO DE ASSIS- 412,OESTE,Arthur Gomes de Paulo
427927,TCMGPMS0002,MGPMS08,Aguardando Aprovação,18/10/2026,RUA MAJOR GOTE- 1003,OESTE,Arthur Gomes de Paulo
427713,TCMGDIV0008,MGDIV12,Aguardando Aprovação,07/10/2026,RUA MANAUS SN,METROPOLITANO,Leandro de Menezes Assunção
417112,TCMGPPO0001,MGPRO01,Liberado,22/09/2026,RUA MARIA DAS DORES- SN,SUL,Adriano Francisco de Paula
427810,TCMGPSS0002,MGPAS04,Aguardando Aprovação,07/10/2026,RUA MERCURIO SN,SUL,Adriano Francisco de Paula
417083,TCMGIOG0001,MGIOG01,Liberado,22/09/2026,RUA MINISTRO FRANCISCO CAMPOS- SN,SUL,Adriano Francisco de Paula
427642,TCMGCTG0001,MGCTG03,Aguardando Aprovação,07/10/2026,RUA MONSENHOR JOAO RODRIGUES 107,BH,Rafael Porto Alves da Cruz
428024,TCMGRPD0001,MGRPD01,Aguardando Aprovação,17/10/2026,RUA MORAIS CARVALHO 530,LESTE,Paulo De Freitas Pereira
417108,TCMGPOU0002,MGPOA08,Liberado,22/09/2026,RUA NAIR FRANCO SN,SUL,Adriano Francisco de Paula
427684,TEMGBET0004,MGBET05,Aguardando Aprovação,07/10/2026,RUA NALZIRA BATISTA- 216-,BH,Renato Parreiras
417087,TCMGIYM0001,MGIYM01,Liberado,22/09/2026,RUA NASTRAL NASSUR- SN,SUL,Adriano Francisco de Paula
427959,TCMGMCL0006,MGMCL16,Aguardando Aprovação,17/10/2026,RUA NATAL 910 SN,NORTE,Paulo De Freitas Pereira
417044,TCMGCGR0001,MGCGR01,Liberado,22/09/2026,RUA NOSSA SRA DE FATIMA- SN,SUL,Adriano Francisco de Paula
417042,TCMGCDC0001,MGCDC01,Liberado,22/09/2026,RUA OLIMPIO VERGULINO DE SOUZA- SN,SUL,Adriano Francisco de Paula
417012,TCMGADL0001,MGADL01,Liberado,22/09/2026,RUA OLIVEIRA MAFRA- 87,SUL,Adriano Francisco de Paula
427646,TCMGCTG0005,MGCTG20,Aguardando Aprovação,07/10/2026,RUA OTILIA COSTA PERES 438,BH,Rafael Porto Alves da Cruz
427903,TCMGCVL0001,MGCVL01,Aguardando Aprovação,01/12/2026,RUA PACIFICO MASCARENHAS 86,METROPOLITANO,Leandro de Menezes Assunção
428087,TCMGMTP0003,MGMTP04,Aguardando Aprovação,17/11/2026,RUA PALESTINA MUNIZ PEREIRA- SN,LESTE,Paulo De Freitas Pereira
427963,TCMGMCL0012,MGMCL24,Aguardando Aprovação,17/10/2026,RUA PALMARES SN,NORTE,Paulo De Freitas Pereira
427711,TCMGDIV0006,MGDIV09,Aguardando Aprovação,07/10/2026,RUA PARA 296,METROPOLITANO,Leandro de Menezes Assunção
427685,TEMGBET0005,MGBET21,Aguardando Aprovação,07/10/2026,RUA PARACATU 262,BH,Renato Parreiras
427931,TCMGPRT0001,MGPRT01,Aguardando Aprovação,18/10/2026,RUA PARANA SN,OESTE,Arthur Gomes de Paulo
427596,TCMGBHO0037,MGFTA12,Aguardando Aprovação,07/10/2026,RUA PATRIARCA 182,BH,Rafael Porto Alves da Cruz
427603,TCMGBHO0045,MGPAM10,Aguardando Aprovação,07/10/2026,RUA PEDRINOPOLIS 320,BH,Rafael Porto Alves da Cruz
427916,TCMGCLS0001,MGCLS01,Aguardando Aprovação,18/10/2026,RUA PEDRO LIMA CHAGAS SN,OESTE,Arthur Gomes de Paulo
427690,TEMGBHO0028,MGCEN41,Aguardando Aprovação,07/10/2026,RUA PERNAMBUCO 189,BH,Renato Parreiras
427614,TCMGBHO0059,MGSAV18,Aguardando Aprovação,07/10/2026,RUA PIAUI- 1100,BH,Renato Parreiras
427593,TCMGBHO0034,MGDCA09,Aguardando Aprovação,07/10/2026,RUA PINTO MARTINS 355,BH,Rafael Porto Alves da Cruz
427581,TCMGBHO0013,MGBRT14,Aguardando Aprovação,07/10/2026,RUA PINTOR GERALDO GONCALVES 120,BH,Renato Parreiras
428099,TTMGGVD0006,MGGVD41,Aguardando Aprovação,17/11/2026,"RUA PIRAPORA, 60, SANTA HELENA, CEP 35058220",LESTE,Paulo De Freitas Pereira
427955,TCMGBZO0001,MGBZO01,Aguardando Aprovação,17/10/2026,RUA POLONIA156,NORTE,Paulo De Freitas Pereira
427583,TCMGBHO0017,MGCEN05,Aguardando Aprovação,07/10/2026,RUA POUSO ALEGRE- 180,BH,Rafael Porto Alves da Cruz
428078,TCMGMNH0003,MGMNH05,Aguardando Aprovação,17/11/2026,RUA PROF LEDA- SN,LESTE,Paulo De Freitas Pereira
417075,TCMGGXP0001,MGGXP02,Liberado,22/09/2026,RUA PROFESSOR ANTENOR DE CARVALHO- SN,SUL,Adriano Francisco de Paula
427610,TCMGBHO0054,MGSAV09,Aguardando Aprovação,07/10/2026,RUA PROFESSOR ANTONIO ALEIXO 798,BH,Renato Parreiras
427589,TCMGBHO0027,MGCJA09,Aguardando Aprovação,07/10/2026,RUA PROFESSOR JOSE RENAULT- 277,BH,Renato Parreiras
427936,TCMGUBE0001,MGULA31,Aguardando Aprovação,18/10/2026,RUA PROFESSOR PEDRO BERNARDO- 156,OESTE,Arthur Gomes de Paulo
417085,TCMGITN0001,MGITN01,Liberado,22/09/2026,RUA PROJETADA- 55,SUL,Adriano Francisco de Paula
417063,TCMGELM0001,MGELM01,Liberado,22/09/2026,RUA QUINTINO BOCAIUVA- 447,SUL,Adriano Francisco de Paula
427933,TCMGSAC0001,MGSAC02,Aguardando Aprovação,18/10/2026,RUA QUINTO CERCHI SN,OESTE,Arthur Gomes de Paulo
427954,TCMGBSM0001,MGBSM01,Aguardando Aprovação,17/10/2026,RUA R   LOTE 463- SN,NORTE,Paulo De Freitas Pereira
428064,TCMGGVD0008,MGGVD14,Aguardando Aprovação,17/11/2026,RUA RANULFO ALVES 1069,LESTE,Paulo De Freitas Pereira
427590,TCMGBHO0031,MGCNO09,Aguardando Aprovação,07/10/2026,RUA REGINO GONZAGA SILVA- 131,BH,Rafael Porto Alves da Cruz
427620,TCMGBHO0063,MGBEL23,Aguardando Aprovação,07/10/2026,RUA RODRIGO OTAVIO COUTINHO- 50,BH,Renato Parreiras
427651,TCMGCTG0009,MGCTG31,Aguardando Aprovação,07/10/2026,RUA RODRIGUES DA CUNHA 768,BH,Rafael Porto Alves da Cruz
427645,TCMGCTG0004,MGCTG16,Aguardando Aprovação,07/10/2026,RUA SAGITARIO,BH,Renato Parreiras
427703,TCMGCMM0001,MGCMM01,Aguardando Aprovação,07/10/2026,RUA SANTA MARIA SN,METROPOLITANO,Leandro de Menezes Assunção
427714,TCMGDIV0009,MGDIV13,Aguardando Aprovação,07/10/2026,RUA SANTIAGO SN,METROPOLITANO,Leandro de Menezes Assunção
427914,TCMGARX0006,MGARX07,Aguardando Aprovação,18/10/2026,RUA SANTO ANTONIO LOTE 09  QD 1 1031,OESTE,Arthur Gomes de Paulo
428016,TCMGMED0002,MGMED02,Aguardando Aprovação,17/10/2026,RUA SAO JOAO GRANDE- SN,LESTE,Paulo De Freitas Pereira
428021,TCMGPRQ0001,MGPRQR2,Aguardando Aprovação,17/10/2026,RUA SAO LUIZ 195,LESTE,Paulo De Freitas Pereira
427687,TEMGBET0007,MGBET23,Aguardando Aprovação,07/10/2026,RUA SAO MIGUEL 15,BH,Renato Parreiras
427994,TTMGJNB0002,MGJNB07,Aguardando Aprovação,17/11/2026,RUA SAO MIGUEL N 716 SAO LUCAS JANAUBA MG,NORTE,Paulo De Freitas Pereira
427682,TCMGSLZ0001,MGSLZ05,Aguardando Aprovação,07/10/2026,RUA SAO PAULO 542,BH,Rafael Porto Alves da Cruz
428008,TCMGCCH0001,MGCCH01,Aguardando Aprovação,17/10/2026,RUA SAO PAULO 601,LESTE,Paulo De Freitas Pereira
427607,TCMGBHO0052,MGSAV04,Aguardando Aprovação,07/10/2026,RUA SAO PAULO- 2207,BH,Renato Parreiras
417055,TCMGCPT0002,MGCPTR1,Liberado,22/09/2026,RUA SAO SEBASTIAO- 200,SUL,Adriano Francisco de Paula
427582,TCMGBHO0015,MGCEN03,Aguardando Aprovação,07/10/2026,RUA SAPUCAI 445,BH,Rafael Porto Alves da Cruz
428065,TCMGGVD0009,MGGVD16,Aguardando Aprovação,17/11/2026,RUA SEBASTIAO R DA CUNHA SN,LESTE,Paulo De Freitas Pereira
428092,TCMGPAD0002,MGPPA02,Aguardando Aprovação,17/11/2026,RUA SEM DENOMINACAO SN,LESTE,Paulo De Freitas Pereira
427918,TCMGCQT0001,MGCQT01,Aguardando Aprovação,18/10/2026,RUA SERGIO MARQUES SN,OESTE,Arthur Gomes de Paulo
427598,TCMGBHO0040,MGFTA24,Aguardando Aprovação,07/10/2026,RUA SERRAVITE- 92,BH,Rafael Porto Alves da Cruz
427649,TCMGCTG0007,MGCTG22,Aguardando Aprovação,07/10/2026,RUA SETE 382,BH,Rafael Porto Alves da Cruz
428015,TCMGMED0001,MGMED01,Aguardando Aprovação,17/10/2026,RUA SETE DE SETEMBRO- SN,LESTE,Paulo De Freitas Pereira
427942,TCMGUBE0007,MGULA19,Aguardando Aprovação,18/10/2026,RUA SEVILHA SN,OESTE,Arthur Gomes de Paulo
417035,TCMGCAM0001,MGCAM01,Liberado,22/09/2026,RUA TERESINA DE JESUS VARGAS- SN,SUL,Adriano Francisco de Paula
425313,TCMGBHO0016,MGCEN04,Liberado,15/10/2026,RUA TIMBIRAS 3156,BH,Renato Parreiras
427761,TCMGNVU0001,MGNVU01,Aguardando Aprovação,07/10/2026,RUA TIRADENTES 146,METROPOLITANO,Arthur Santos de Oliveira
427643,TCMGCTG0002,MGCTG05,Aguardando Aprovação,07/10/2026,RUA TOMAS JEFFERSON SN,BH,Rafael Porto Alves da Cruz
417047,TCMGCMN0001,MGCMN01,Liberado,22/09/2026,RUA TONICO DE MOURA- 126,SUL,Adriano Francisco de Paula
427691,TEMGBHO0033,MGDCA28,Aguardando Aprovação,07/10/2026,RUA TRÊS CORAÇÕES-  300-,BH,Renato Parreiras
427969,TEMGMCL0004,MGMCL15,Aguardando Aprovação,17/10/2026,RUA TRÊS- 95  / LT 01- QD 03-,NORTE,Paulo De Freitas Pereira
427934,TCMGSSA0001,MGSSA01,Aguardando Aprovação,18/10/2026,RUA TUPINAMBAS SN,OESTE,Arthur Gomes de Paulo
427591,TCMGBHO0032,MGDCA01,Aguardando Aprovação,07/10/2026,RUA TURQUEZA 448,BH,Renato Parreiras
428060,TCMGGVD0004,MGGVD08,Aguardando Aprovação,17/11/2026,RUA VALE FORMOSO 755,LESTE,Paulo De Freitas Pereira
417078,TCMGIJC0001,MGIJC01,Liberado,22/09/2026,RUA VIGILATO VILAS BOAS- SN,SUL,Adriano Francisco de Paula
428000,TCMGAGE0001,MGAGL80,Aguardando Aprovação,17/10/2026,RUA VILA DOS ANJOS SN,LESTE,Paulo De Freitas Pereira
427981,TCMGMAN0001,MGMAG01,Aguardando Aprovação,17/11/2026,RUA WENCESLAU BRAZ- SN,NORTE,Paulo De Freitas Pereira
322495,TCMGSWU0001,MGSWU01,Liberado,14/03/2026,SANTA BARBARA DO TUGURIO 36215000 SN,ZONA DA MATA,André Valério de Paiva
428036,TCMGSMW0001,MGSMA01,Aguardando Aprovação,17/10/2026,SANTA MARGARIDA 36910000 SN,LESTE,Paulo De Freitas Pereira
428037,TCMGSMW0002,MGSMA02,Aguardando Aprovação,17/10/2026,SANTA MARGARIDA 36910000- SN,LESTE,Paulo De Freitas Pereira
428013,TCMGIPG0002,MGIPG21,Aguardando Aprovação,17/10/2026,SANTANA IPATINGA 35160011 SN,LESTE,Paulo De Freitas Pereira
428077,TCMGMNH0001,MGMNH04,Aguardando Aprovação,17/11/2026,SAO JOSE DA CACHOEIRA ALTA- SN,LESTE,Paulo De Freitas Pereira
417159,TCMGCOB0001,MGCOB01,Liberado,22/09/2026,SÃO TIAGO- SN,ZONA DA MATA,André Valério de Paiva
427672,TCMGNLM0006,MGNVL35,Aguardando Aprovação,07/10/2026,SENADOR MILTON CAMPOS 115,BH,Renato Parreiras
428032,TCMGSIW0001,MGSIW01,Aguardando Aprovação,17/10/2026,SERICITA 35368000 SN,LESTE,Paulo De Freitas Pereira
417048,TCMGCMP0001,MGCMP01,Liberado,22/09/2026,SERRA DAS ANTENAS SN,SUL,Adriano Francisco de Paula
417090,TCMGLUM0001,MGLUM01,Liberado,22/09/2026,SERRA MATA BOI- SN,SUL,Adriano Francisco de Paula
427908,TCMGLJL0001,MGLJL01,Aguardando Aprovação,30/10/2026,SERTAO ENGENHO VELHO- SN,ZONA DA MATA,André Valério de Paiva
417120,TCMGRBV0002,MGRVM01,Liberado,22/09/2026,SITIO BOA VISTA SN- SN,SUL,Adriano Francisco de Paula
428027,TCMGSAG0001,MGSAGR1,Aguardando Aprovação,17/10/2026,SITIO CACHOEIRA ALTA SN,LESTE,Paulo De Freitas Pereira
428100,TTMGPEB0001,MGPEB03,Aguardando Aprovação,17/11/2026,SITIO CORREGO DE MATIPO GRANDE SN 35364000,LESTE,Paulo De Freitas Pereira
427695,TCMGAME0001,MGAME01,Aguardando Aprovação,07/10/2026,SITIO DA SERRA- SN,METROPOLITANO,Arthur Santos de Oliveira
417058,TCMGCRI0001,MGCRI01,Liberado,29/09/2026,SITIO DA TORRE SN,SUL,Adriano Francisco de Paula
417066,TCMGEST0001,MGEST01,Liberado,22/09/2026,SITIO DONA FRANCAFAZENDA OLARIA SN,SUL,Adriano Francisco de Paula
417154,TCMGBBC0008,MGBBCR5,Liberado,22/09/2026,SITIO POMBAL- SN,ZONA DA MATA,André Valério de Paiva
428079,TCMGMNH0004,MGMNH06,Aguardando Aprovação,17/11/2026,SITIO POUSO ALEGRE- SN,LESTE,Paulo De Freitas Pereira
417124,TCMGSCM0001,MGSCM01,Liberado,22/09/2026,SITIO RANCHO ALEGRE- SN,SUL,Adriano Francisco de Paula
417093,TCMGMCH0002,MGMCH80,Liberado,22/09/2026,SITIO SANTA BARBARA SN,SUL,Adriano Francisco de Paula
417099,TCMGMUO0001,MGMUO02,Liberado,22/09/2026,SITIO SAO JOAO-,SUL,Adriano Francisco de Paula
427803,TCMGEXT0002,MGEXT02,Aguardando Aprovação,07/10/2026,SITIO SAO JOSE SN,SUL,Adriano Francisco de Paula
417152,TCMGBBC0005,MGBBCR1,Liberado,22/09/2026,SITIO SAPATEIRA- SN,ZONA DA MATA,André Valério de Paiva
417156,TCMGBCD0002,MGBCD80,Liberado,22/09/2026,SITIO SERRA DA APARECIDA OU GROTA DO CED SN,ZONA DA MATA,André Valério de Paiva
417176,TCMGLDU0001,MGLDU02,Liberado,22/09/2026,SITIO TANQUE SN,ZONA DA MATA,André Valério de Paiva
427982,TCMGMCL0002,MGMCL01,Aguardando Aprovação,17/11/2026,STA EFIGENIA SN,NORTE,Paulo De Freitas Pereira
427978,TCMGJNR0001,MGJNR01,Aguardando Aprovação,17/11/2026,TRAVESSA TREZE DE MAIO SN,NORTE,Paulo De Freitas Pereira
427949,TCMGUBE0016,MGULA65,Aguardando Aprovação,18/10/2026,TRAVESSA VERISSIMO- 40,OESTE,Arthur Gomes de Paulo
417138,TCMGTRP0002,MGTRP02,Liberado,22/09/2026,TRES PONTAS 37190000- SN,SUL,Adriano Francisco de Paula
428026,TCMGRSO0002,MGRSO80,Aguardando Aprovação,17/10/2026,UNIAO DO CORREGO- S/N,LESTE,Paulo De Freitas Pereira
417125,TCMGSGS0001,MGSGSR1,Liberado,22/09/2026,VALE FORMOSO- SN,SUL,Adriano Francisco de Paula
417045,TCMGCGR0002,MGCGR80,Liberado,22/09/2026,VARGEDO- SN,SUL,Adriano Francisco de Paula
427656,TCMGITO0002,MGITOR3,Aguardando Aprovação,07/10/2026,VARGEM DOS VELUDINHOS SN,BH,Renato Parreiras
427741,TCMGJEQ0001,MGJEQ01,Aguardando Aprovação,07/10/2026,ZICO DE SOUZA 6,METROPOLITANO,Leandro de Menezes Assunção
428054,TTMGCFB0001,MGCFB16,Aguardando Aprovação,17/10/2026,ZONA RURAL SN,LESTE,Paulo De Freitas Pereira
