CHAMADO,ID DETENTORA,SITE,STATUS,VALIDADE,ENDEREÇO,CLUSTER,SUPERVISOR
427694,TCMGACA0002,MGACAR1,Aguardando Aprovação,07/10/2026,MG 262 SN,METROPOLITANO,Arthur Santos de Oliveira
417064,TCMGELM0002,MGELMR1,Liberado,22/09/2026,MG491 SN,SUL,Adriano Francisco de Paula
427961,TCMGMCL0009,MGMCL21,Aguardando Aprovação,17/10/2026,MONTES CLAROS 39414000- SN,NORTE,Paulo De Freitas Pereira
427779,TCMGSGR0001,MGSGR01,Aguardando Aprovação,07/10/2026,MORRO DA TORRE TV SN,METROPOLITANO,Arthur Santos de Oliveira
428052,TEMGMED0001,MGMED80,Aguardando Aprovação,17/10/2026,MORRO DO AGUDO- S/N,LESTE,Paulo De Freitas Pereira
417040,TCMGCBQ0001,MGCBQ01,Liberado,22/09/2026,MORRO DO CRUZEIRO- SN,SUL,Adriano Francisco de Paula
428011,TCMGCYA0001,MGCYA01,Aguardando Aprovação,17/10/2026,MORRO DO CRUZEIRO- SN,LESTE,Paulo De Freitas Pereira
417130,TCMGSJB0002,MGAPN01,Liberado,22/09/2026,MRO DAS ANTENAS-S/N,SUL,Adriano Francisco de Paula
428069,TCMGIPG0004,MGIPG27,Aguardando Aprovação,17/11/2026,NOVA ALAMEDA- 365,LESTE,Paulo De Freitas Pereira
428090,TCMGORI0001,MGORI01,Aguardando Aprovação,17/11/2026,ORIZANIA 36828000- SN,LESTE,Paulo De Freitas Pereira
417034,TCMGCAL0001,MGCAL01,Liberado,22/09/2026,PARQUE DAS ANTENAS SN,SUL,Adriano Francisco de Paula
417177,TCMGPVI0001,MGPVI01,Liberado,22/09/2026,PASSA VINTE 37330000- SN,ZONA DA MATA,André Valério de Paiva
428029,TCMGSAG0003,MGSAG01,Aguardando Aprovação,17/10/2026,PATRIMÔNIO,LESTE,Paulo De Freitas Pereira
417031,TCMGBOE0001,MGBOER1,Liberado,22/09/2026,PC AMAPA 13,SUL,Adriano Francisco de Paula
417082,TCMGIMT0001,MGIMT01,Liberado,22/09/2026,PC MARIA JOSE CARVALHO- SN,SUL,Adriano Francisco de Paula
427946,TCMGUBE0012,MGULA20,Aguardando Aprovação,18/10/2026,PE. MANOEL DA NOBREGA ESQ REAL GRANDEZA 158,OESTE,Arthur Gomes de Paulo
428094,TCMGPEB0001,MGPEB01,Aguardando Aprovação,17/11/2026,PEDRA BONITA 35364000- SN,LESTE,Paulo De Freitas Pereira
428095,TCMGPEB0002,MGPEB02,Aguardando Aprovação,17/11/2026,PEDRA BONITA 35364000- SN,LESTE,Paulo De Freitas Pereira
417143,TCMGAIT0001,MGAIT01,Liberado,22/09/2026,PEDRO CÍBIO CARMINATE- SN,ZONA DA MATA,André Valério de Paiva
428096,TEMGGVD0003,MGGVD82,Aguardando Aprovação,17/11/2026,PICO DO IBITURUNA- 99-,LESTE,Paulo De Freitas Pereira
417079,TCMGILI0001,MGILI01,Liberado,22/09/2026,PITANGUEIRAS SN,SUL,Adriano Francisco de Paula
428085,TCMGMTP0001,MGMTP02,Aguardando Aprovação,17/11/2026,PONTA NEGRA MATIPO 35367000- SN,LESTE,Paulo De Freitas Pereira
427798,TCMGADO0001,MGARE01,Aguardando Aprovação,07/10/2026,PORTAO VELHO SN,SUL,Adriano Francisco de Paula
428020,TCMGNAQ0002,MGNAQ01,Aguardando Aprovação,17/10/2026,POUSO ALEGRE 304,LESTE,Paulo De Freitas Pereira
427923,TCMGPMS0001,MGPMS04,Aguardando Aprovação,18/10/2026,PRACA BELCHIOR FRANCISCO ROSA SN,OESTE,Arthur Gomes de Paulo
427919,TCMGFRU0004,MGFRU03,Aguardando Aprovação,18/10/2026,PRACA DA MATRIZ- 99,OESTE,Arthur Gomes de Paulo
428045,TCMGTUR0001,MGTUR01,Aguardando Aprovação,17/10/2026,PRACA DA TORRE 193,LESTE,Paulo De Freitas Pereira
427700,TCMGBLD0001,MGBLD01,Aguardando Aprovação,07/10/2026,PRACA DO CRUZEIRO,METROPOLITANO,Leandro de Menezes Assunção
417094,TCMGMFE0001,MGMDF01,Liberado,22/09/2026,PRACA GETULIO VARGAS- 104,SUL,Adriano Francisco de Paula
427764,TCMGOLI0001,MGOLI01,Aguardando Aprovação,07/10/2026,PRACA PINTO MACHADO 22,METROPOLITANO,Leandro de Menezes Assunção
417096,TCMGMSI0001,MGMSI01,Liberado,22/09/2026,PRACA PREF MARIO ZUCATO- 35,SUL,Adriano Francisco de Paula
417036,TCMGCAM0002,MGCAM02,Liberado,22/09/2026,PRACA SEM DENOMINACAO- SN,SUL,Adriano Francisco de Paula
427693,TCMGACA0001,MGACA01,Aguardando Aprovação,07/10/2026,PRAIA DO FELICIO- SN,METROPOLITANO,Arthur Santos de Oliveira
428063,TCMGGVD0007,MGGVD13,Aguardando Aprovação,17/11/2026,PRESIDENTE ARTHUR BERNARDES 687- SN,LESTE,Paulo De Freitas Pereira
417131,TCMGSLR0001,MGSLR01,Liberado,22/09/2026,PRIMEIRO DE ABRIL647,SUL,Adriano Francisco de Paula
427910,TEMGCTS0001,MGCTS02,Aguardando Aprovação,01/11/2026,PROJETADAS/N,ZONA DA MATA,André Valério de Paiva
427899,TCMGJAI0001,MGJAI02,Aguardando Aprovação,09/10/2026,PROJETO JAIBA SN,NORTE,Paulo De Freitas Pereira
427999,TCMGADS0002,MGADS80,Aguardando Aprovação,17/10/2026,PROJETO JATOBA II- SN,LESTE,Paulo De Freitas Pereira
428093,TCMGPAZ0001,MGPAZ01,Aguardando Aprovação,17/11/2026,PROXIMA A CIDADE DE PEDRA AZUL SN,LESTE,Paulo De Freitas Pereira
427680,TCMGSBR0003,MGSBRR1,Aguardando Aprovação,07/10/2026,QUINHAO N 3,BH,Rafael Porto Alves da Cruz
428053,TEMGTEO0001,MGTEO99,Aguardando Aprovação,17/10/2026,R  ENGENHEIRO CELSO MURTA 242 DOUTOR LAERTE LAENDER,LESTE,Paulo De Freitas Pereira
427902,TCMGOPR0007,MGOPR08,Aguardando Aprovação,22/11/2026,R DIAMANTE SN,METROPOLITANO,Arthur Santos de Oliveira
427747,TCMGJML0002,MGJML09,Aguardando Aprovação,07/10/2026,R EQUADOR LT 24 QD 100 SN,METROPOLITANO,Arthur Santos de Oliveira
427641,TCMGBHO0085,MGBEL35,Aguardando Aprovação,07/10/2026,R GRAJÁU- 368,BH,Renato Parreiras
